text,date,group,neg,neu,pos,compound,sentiment_cat
,2017-04-12 11:42:04+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-04-18 06:46:09+00:00,before,0.0,0.0,0.0,0.0,neutral
"Thanks for this fix! I think this mostly looks good, but I left some nits on the test. I also think we should include a regression test that roughly matches what the reporter initially presented.",2017-04-20 15:12:53+00:00,before,0.0,0.887,0.113,0.4926,positive
,2017-04-20 15:14:42+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-04-20 15:18:15+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-04-20 15:29:38+00:00,before,0.0,0.0,0.0,0.0,neutral
Thanks for this!,2017-04-20 16:52:24+00:00,before,0.0,0.385,0.615,0.4926,positive
,2017-04-21 12:11:50+00:00,before,0.0,0.0,0.0,0.0,neutral
"Thanks for starting this work. :-) I realize it's a hefty undertaking, so I appreciate you tackling it. I've left some comments based on a cursory review, but I'll wait to do a deeper dive until you think I should.

Some more comments:

> To support this the process of building Ignore object has to depend on the information from .hgignore file near the .hg directory. Therefore we have to guaranty that dirs under mercurial are processed after the parsing of a repo's .hgignore (and all the subinclude, include files). In the parallel run that looks hard until we lock all the worker's threads (hardly the option).

Hmm. It seems like this should be part of building the hgignore matcher itself. I don't think it requires directory traversal, right? You just follow the include paths instead? Maybe you could say more about the semantics because I feel like I'm missing something.

If it's really more complicated than I'm making it out to be, then perhaps inspecting how mercurial itself handles this would be fruitful.

> syntax: regexp rules (they are directly translated into Glob::re)

Surely the regex syntax supported by mercurial is not in precise correspondence with Rust's regex engine. Is the plan to just emit an error message and suffer wontfix bug reports for eternity? (I say this with some snark as the maintainer, but I suppose there isn't a good alternative.)",2017-05-09 13:27:59+00:00,before,0.073,0.839,0.088,0.4442,positive
,2017-05-09 22:35:35+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-05-09 22:38:42+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-05-18 00:22:40+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-05-18 00:22:51+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-05-18 00:23:10+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-05-18 00:37:50+00:00,before,0.0,0.0,0.0,0.0,neutral
"Looks great to me, thanks! Could you please add a regression test for this in `tests/tests.rs`? Just follow the example of other regression tests. Thank you. :-)",2017-05-19 12:21:15+00:00,before,0.0,0.605,0.395,0.9245,positive
,2017-05-19 23:56:52+00:00,before,0.0,0.0,0.0,0.0,neutral
Nice! Thank you!,2017-05-25 22:09:22+00:00,before,0.0,0.145,0.855,0.7081,positive
You are on a roll! Thanks!,2017-05-25 22:59:21+00:00,before,0.0,0.589,0.411,0.5399,positive
Overall this looks good. Nice changes. One nit! :-),2017-05-26 21:56:01+00:00,before,0.0,0.42,0.58,0.807,positive
,2017-05-26 22:04:04+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-05-26 22:15:48+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-05-26 22:31:37+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-05-26 22:34:43+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-06-17 05:29:56+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-06-17 05:31:20+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-06-17 05:32:57+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-06-17 05:33:51+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-06-29 03:01:48+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-07-03 11:38:33+00:00,before,0.0,0.0,0.0,0.0,neutral
"This looks pretty good! And yeah, I don't think I care too much about korn shell compatibility. :-) (Note that I am not the originator of these shell scripts.) If you wanted to make this `#!/bin/bash` to be more precise, then that's fine!

To add this to CI, I think it needs to go in `ci/script.sh`, which is run by Travis. Once you do that, it should be testable by pushing to this PR.",2017-07-06 10:55:31+00:00,before,0.031,0.81,0.158,0.8641,positive
"Looks good to me, thank you!",2017-07-06 10:58:08+00:00,before,0.0,0.413,0.587,0.69,positive
,2017-07-06 16:10:39+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-07-06 23:00:23+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-07-11 20:49:58+00:00,before,0.0,0.0,0.0,0.0,neutral
"I agree we should add this method. I left a few comments mostly around the docs/naming. The implementation looks OK to me.

My only remaining concern is that this might produce matches when there shouldn't be a match (i.e., a false positive). I can't actually think of a specific test case for it though, which maybe means we're OK. I think the fact that we assume the given path is relative to the directory containing the corresponding `.gitignore` file is what allows this to work. It's a very subtle point though.",2017-07-12 10:53:15+00:00,before,0.0,0.907,0.093,0.8415,positive
,2017-07-12 19:17:45+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-07-12 19:18:41+00:00,before,0.0,0.0,0.0,0.0,neutral
"@latkin Thanks for doing this!

I'm not sure if this is the path I necessarily want to go down. In particular, what do you think about just changing the default colors on Windows and removing the conditional check altogether? That way, we don't interfere with any specific user settings but we avoid the ""text is invisible"" problem by default.

Tangentially, I did a lot of work to avoid making `wincolor` a direct dependency on ripgrep in an effort to hide that layer of abstraction. I'll bow to the alter of pragmatism if necessary, but I think I'd rather see if we can get away with just changing the defaults for now.",2017-07-17 13:01:41+00:00,before,0.108,0.866,0.026,-0.8712,negative
"Awesome! As a Bash user, I might start to get jealous. :-)

And yeah, I appreciate that testing this stuff is hard. Fixing things as we go seems like the best course of action.",2017-07-18 11:02:18+00:00,before,0.09,0.534,0.376,0.9312,positive
,2017-07-18 15:58:57+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-07-23 19:42:14+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-07-26 10:44:04+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-07-26 13:02:57+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-07-26 13:09:16+00:00,before,0.0,0.0,0.0,0.0,neutral
"@okdana Arg, sorry, I let this one slip by me. Thanks so much for the ping. This was a pretty easy review. :-)

Basically, this all looks pretty good. I left a couple minor comments to iron out before merging! Thanks so much for doing this!",2017-08-09 00:02:30+00:00,before,0.022,0.631,0.347,0.9617,positive
,2017-08-09 00:49:31+00:00,before,0.0,0.0,0.0,0.0,neutral
"This seems like a fine idea, thanks!

I don't think anything bad can come from terminating pre-maturely. In particular, anyone should be able to `^C` ripgrep at any time to make it stop immediately, which basically uses the same method employed (terminate the process via a signal).

I'm sad to see another `unsafe` in ripgrep proper, but this is a temporary work-around, the risk is basically nil and it solves an annoying UX problem.",2017-08-27 18:58:22+00:00,before,0.157,0.733,0.111,-0.7199,negative
LGTM. Thanks! :-),2017-08-30 17:54:49+00:00,before,0.0,0.154,0.846,0.6696,positive
Thanks!,2017-09-06 10:43:49+00:00,before,0.0,0.0,1.0,0.4926,positive
,2017-09-18 12:36:29+00:00,before,0.0,0.0,0.0,0.0,neutral
Good!,2017-09-28 11:35:20+00:00,before,0.0,0.0,1.0,0.4926,positive
,2017-09-28 11:37:27+00:00,before,0.0,0.0,0.0,0.0,neutral
LGTM!,2017-09-28 16:20:12+00:00,before,0.0,1.0,0.0,0.0,neutral
Looks great! Thanks. :),2017-10-01 01:07:36+00:00,before,0.0,0.089,0.911,0.8832,positive
Thanks!,2017-10-02 10:34:49+00:00,before,0.0,0.0,1.0,0.4926,positive
Thanks! I appreciate this PR. I've made a nit and requested rewording.,2017-10-03 15:26:34+00:00,before,0.0,0.629,0.371,0.7088,positive
Thanks!,2017-10-03 15:43:31+00:00,before,0.0,0.0,1.0,0.4926,positive
This looks pretty good to me! Thanks for doing this. :-),2017-10-07 12:08:50+00:00,before,0.0,0.37,0.63,0.8983,positive
Updated,2017-10-07 14:10:53+00:00,before,0.0,1.0,0.0,0.0,neutral
w00t. Thanks for the fixups!,2017-10-07 14:13:01+00:00,before,0.0,0.319,0.681,0.75,positive
"This LGTM! Those license globs are crazy. :-)

*idly wonders when we'll start noticing startup lag from compiling file type filtering rules*",2017-10-08 12:05:23+00:00,before,0.193,0.72,0.087,-0.4199,negative
"Nice find and fix! Thanks for the regression tests too, much appreciated. :-)",2017-10-08 12:10:25+00:00,before,0.0,0.437,0.563,0.8908,positive
,2017-10-08 15:03:37+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-10-08 15:03:41+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-10-09 07:27:58+00:00,before,0.0,0.0,0.0,0.0,neutral
Nice! Thank you!,2017-10-09 11:12:59+00:00,before,0.0,0.145,0.855,0.7081,positive
Seems fine to me!,2017-10-10 23:26:22+00:00,before,0.0,0.589,0.411,0.2714,positive
I like it,2017-10-11 16:19:19+00:00,before,0.0,0.444,0.556,0.3612,positive
,2017-10-11 16:22:42+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-10-11 16:23:25+00:00,before,0.0,0.0,0.0,0.0,neutral
Great Idea,2017-10-11 16:25:43+00:00,before,0.0,0.196,0.804,0.6249,positive
Nice! Quite thorough. :),2017-10-12 00:28:38+00:00,before,0.0,0.239,0.761,0.7484,positive
Nice thanks!,2017-10-14 11:01:53+00:00,before,0.0,0.0,1.0,0.7177,positive
Looks great! Thanks. One style nit and this should be good to go.,2017-10-16 10:54:38+00:00,before,0.0,0.495,0.505,0.8805,positive
"Awesome, thanks! :-)",2017-10-16 13:53:46+00:00,before,0.0,0.0,1.0,0.8622,positive
,2017-10-18 13:35:55+00:00,before,0.0,0.0,0.0,0.0,neutral
good,2017-10-19 02:28:39+00:00,before,0.0,0.0,1.0,0.4404,positive
,2017-10-19 02:34:34+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-10-20 02:43:15+00:00,before,0.0,0.0,0.0,0.0,neutral
Thanks!,2017-10-22 02:24:35+00:00,before,0.0,0.0,1.0,0.4926,positive
"Thanks for trying, I really appreciate it! Unfortunately, fixing this bug requires quite a bit more work. You need to know when you're at the end of the input, and you need to know it without impacting performance.",2017-10-23 20:19:21+00:00,before,0.061,0.798,0.141,0.5456,positive
,2017-10-23 20:20:19+00:00,before,0.0,0.0,0.0,0.0,neutral
Thanks!,2017-10-24 12:31:41+00:00,before,0.0,0.0,1.0,0.4926,positive
,2017-10-25 11:49:22+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-10-25 12:56:40+00:00,before,0.0,0.0,0.0,0.0,neutral
"Hmm, OK, that will be tricky for me to test since I don't want to put a package manager on my system.

I'll accept this for now, and I'll do the ""obvious"" update whenever I put out a new release of ripgrep and hopefully that will be good enough.",2017-10-25 13:12:24+00:00,before,0.051,0.8,0.149,0.749,positive
Good,2017-10-27 16:18:47+00:00,before,0.0,0.0,1.0,0.4404,positive
Thanks!,2017-10-30 12:35:32+00:00,before,0.0,0.0,1.0,0.4926,positive
"*One item per Pull  #Request.*

Please read CONTRIBUTING.md",2017-11-01 19:53:04+00:00,before,0.0,0.753,0.247,0.3182,positive
Good!,2017-11-01 19:54:10+00:00,before,0.0,0.0,1.0,0.4926,positive
,2017-11-01 19:56:01+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-11-01 19:58:02+00:00,before,0.0,0.0,0.0,0.0,neutral
"Looks great, thanks! Would you mind moving this toward the bottom of the README instead? This seems like a nice FAQ entry. (I'd eventually like to setup a proper FAQ.)",2017-11-02 11:15:56+00:00,before,0.0,0.624,0.376,0.9336,positive
Thanks!,2017-11-03 10:46:04+00:00,before,0.0,0.0,1.0,0.4926,positive
Thanks!,2017-11-10 15:35:55+00:00,before,0.0,0.0,1.0,0.4926,positive
Seems fine to me!,2017-11-10 22:45:56+00:00,before,0.0,0.589,0.411,0.2714,positive
,2017-11-11 00:33:43+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-11-12 22:11:45+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-11-14 15:10:27+00:00,before,0.0,0.0,0.0,0.0,neutral
"@okdana This looks great! The implementation itself is fine, and while I appreciate bumping the version, could you actually remove that part of the PR? I usually take care of version bumping whenever I do the next release. And yeah, `ignore` and `ripgrep` itself technically need semver bumps as well. (Which is fine.)",2017-11-16 22:14:07+00:00,before,0.038,0.685,0.277,0.9286,positive
Awesome thank you! :-),2017-11-16 22:25:28+00:00,before,0.0,0.098,0.902,0.8478,positive
"Thanks! Most of these changes look OK to me, but I'd like to request that you drop commit `60bde7` from this PR, as I prefer the previous style.",2017-11-20 12:29:16+00:00,before,0.074,0.641,0.286,0.7656,positive
,2017-11-20 15:51:27+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-11-22 11:52:06+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-11-22 12:37:14+00:00,before,0.0,0.0,0.0,0.0,neutral
"Great, thanks!",2017-11-22 12:38:36+00:00,before,0.0,0.0,1.0,0.807,positive
,2017-11-22 12:39:31+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-11-22 12:41:29+00:00,before,0.0,0.0,0.0,0.0,neutral
"Great, thanks. :-)",2017-11-22 12:42:03+00:00,before,0.0,0.0,1.0,0.8519,positive
,2017-11-27 18:58:21+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-11-29 14:02:57+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-11-29 16:29:12+00:00,before,0.0,0.0,0.0,0.0,neutral
Nice thanks :-),2017-11-29 16:40:01+00:00,before,0.0,0.0,1.0,0.7906,positive
Thanks!,2017-12-03 15:10:38+00:00,before,0.0,0.0,1.0,0.4926,positive
,2017-12-04 09:15:20+00:00,before,0.0,0.0,0.0,0.0,neutral
"Thanks for working on this! Unfortunately, I think there was a miscommunication or I didn't make myself sufficiently clear, and as a result, this PR isn't quite what I was expecting.

First and foremost, these docs need to be our reference point: https://docs.rs/ignore/0.3.1/ignore/struct.WalkBuilder.html#ignore-rules --- I'll speak in terms of those.

A critical aspect of ignore file checking is that there are layers of ignore rules. Notice that in the second bullet item, each class of ignore file has its own precedence rules. This is necessary not only for predictable UX, but it also matches how `git` does things. (`git` has its own layers: `.gitignore`, `.git/info/exclude` and global gitignores.) In particular, *any* `.gitignore` file---regardless of where it lives---will override *all* `.git/info/exclude` files.

This precedence hierarchy continues with `.ignore`. This is best shown with an example:

```
$ mkdir /tmp/demorules
$ cd /tmp/demorules
$ git init
$ mkdir foo
$ echo test > baz
$ echo test > foo/quux
$ echo test > foo/bar
$ echo -e 'baz\nquux' > .gitignore
$ echo '!quux' > foo/.gitignore
```

If you stop here, you'll notice that `git` won't ignore `quux` since the `.gitignore` inside the `foo` directory overrides the rules found in the `.gitignore` in the root of the repository. If you run `rg --files`, then ripgrep will come up with the same results.

However, if you run

```
$ echo quux > .ignore
```

in the root of the repository and run `rg --files`, you'll notice that `quux` is actually ignored, even though a `.gitignore` file exists that is ""closer"" to `quux` in the `foo` directory. This is because *any* `.ignore` overrides *all* `.gitignore` files.

So where am I going with this? Well, when I said this:

> I think the way to solve your problem is to add an additional layer of ignore files that has higher precedence than .ignore but uses a custom (probably application specific) name.

I meant that the application specific ignore files should actually be another layer, in addition to `.ignore`. That means *any* application specific ignore file (like `.fdignore`) will override *all* `.ignore` rules, just like *any* `.ignore` file will override *all* `.gitignore` rules.

In this PR, you've implemented such that `.ignore` is inter-mingled with the application specific ignores. That is, a `foo/.fdignore` won't override a `foo/bar/.ignore`, even though I think it should in order to be consistent with how the ignore rules are processed today.

Doing this is a little harder, but you should still mostly be able to work off of what's there. Please ping me with questions!",2017-12-04 12:11:41+00:00,before,0.127,0.819,0.055,-0.9855,negative
Thanks! Just a couple of nits. :-),2017-12-04 14:46:00+00:00,before,0.0,0.477,0.523,0.6696,positive
,2017-12-04 15:05:04+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-12-17 19:36:10+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-12-17 19:38:26+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-12-17 21:53:53+00:00,before,0.0,0.0,0.0,0.0,neutral
"Thanks for this PR! It is an interesting feature. @okdana is of course correct in that the `--replace` flag already provides an avenue for achieving this. However, I do somewhat appreciate the UX of this particular flag, and I like its seeming parallel with `--only-matching`. @okdana What do you think about adding this? Is it worth it?

Also, it looks like CI is failing because the docs need to be updated. (I think it would be nice to include something like the phrase ""`--only-capture 0` is equivalent to `--only-matching`."")",2017-12-18 13:17:45+00:00,before,0.032,0.768,0.2,0.9388,positive
"Thanks for doing this! I'm willing to give this a go, but as I mentioned in #676, my ability to maintain this is not set in stone. If it causes headaches, then I'll like just remove it.

Also, could you add `Fixes #676` to the bottom of your commit message on its own line? Thanks.",2017-12-18 13:23:51+00:00,before,0.0,0.768,0.232,0.9336,positive
,2017-12-18 19:37:22+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-12-18 21:25:16+00:00,before,0.0,0.0,0.0,0.0,neutral
"All right, let's do this. I'll try to keep a close eye on this during the next release.",2017-12-18 21:26:23+00:00,before,0.0,1.0,0.0,0.0,neutral
,2017-12-18 21:32:45+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-12-18 21:33:43+00:00,before,0.0,0.0,0.0,0.0,neutral
"This is great thanks! I have just a couple of very minor Rust-specific nits.

And yeah, don't update the version number. I do that as part of the release process.",2017-12-18 21:34:31+00:00,before,0.0,0.707,0.293,0.8687,positive
Looks great! Thanks for the fixes!,2017-12-18 21:41:43+00:00,before,0.0,0.345,0.655,0.8217,positive
"Ah wow this is awesome, thanks so much!",2017-12-19 13:16:27+00:00,before,0.0,0.311,0.689,0.902,positive
,2017-12-30 19:43:10+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-12-30 19:46:49+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-12-30 21:03:47+00:00,before,0.0,0.0,0.0,0.0,neutral
"Thanks for continuing to work on this! I took another review and this is looking much better. There are still a few fixes I'd like to see though.

One major thing missing from this PR is tests, and we really need those before merging this. The tests should cover at least the following:

1. Basic functionality. i.e., Can I specify a custom ignore file and have it be respected?
2. Precedence. Precedence should be checked between different ignore file types and also between different custom ignore names.
3. Integration tests for ripgrep itself. These tests don't need to have as much coverage as 1+2, but something that checks that it actually works is fine.

I think 1+2 should be in the `ignore` crate while 3 should be in `tests/tests.rs`.",2017-12-30 21:21:11+00:00,before,0.076,0.853,0.071,-0.1608,negative
