Topic,Count,Name,Representation,Representative_Docs
9,130,9_workflow_github_chezmoi_inno,"['workflow', 'github', 'chezmoi', 'inno', 'git', 'setup', 'quickshell', 'installer', 'gitignore', 'job']","['use npm install in ci summary update github workflow to use instead of testing', 'configure github pages workflow summary set workflow description comment mark pages ci setup task as done testing fails astro not installed', 'add node js github actions workflow summary add a github actions workflow to run lint and test on node 20 testing fails many lint errors']"
10,126,10_cubic_generated_description_wallet,"['cubic', 'generated', 'description', 'wallet', 'jest', 'by', 'blockchain', 'end', 'transactions', 'transaction']","['improve profile wallet page summary redesign profile page with dark wallet layout testing fails jest not found this is an generated description by cubic summary by cubic redesigned the profile wallet page with a new dark layout and improved wallet list making it easier to view and manage wallets ui improvements added a dark background and updated styling for better readability improved wallet list with clearer actions and navigation enhanced wallet details section with updated balance and export options end of generated description by cubic', 'remove unused wallet access api summary delete the endpoint and its route testing fails jest not found this is an generated description by cubic summary by cubic removed the unused wallet access api endpoint and its route to clean up the codebase end of generated description by cubic', 'add wallet status endpoint summary add api route to check active wallet document the new endpoint in readme testing fails jest not found this is an generated description by cubic summary by cubic added a new get endpoint to check if a wallet is active and updated the readme with usage details end of generated description by cubic']"
11,121,11_href_li_code_ul,"['href', 'li', 'code', 'ul', 'h2', 'deps', 'eslint', 'strong', 'dependabot', 'chore']","['chore deps dev bump eslint from 9 31 0 to 9 38 0 bumps eslint from 9 31 0 to 9 38 0 details summary release notes p em sourced from a href releases blockquote h2 v9 38 0 h2 features ul li a href feat update code complexity rule to only highlight function header a href atul nair li a href feat correct code no loss of precision false positives with code e notation a href francesco trotta h2 bug fixes ul li a href fix improve type support for isolated dependencies in pnpm a href francesco trotta li a href fix correct sourcecode typings a href pixel998 h2 documentation ul li a href docs improve web accessibility by hiding non semantic character a href lumir li a href docs correct formatting in code no irregular whitespace rule documentation a href lumir li a href docs update readme github actions bot li a href docs move code custom formatters type descriptions to code nodejs api a href percy ma h2 chores ul li a href chore upgrade code eslint href a href milos djermanovic li a href chore package json update for code eslint release jenkins li a href refactor use types from code eslint a href nicholas c zakas li a href ci add node js 25 to code ci yml a href lumir li a href ci bump github from 3 to 4 a href dependabot bot li a href test remove use of code nodejsscope option of eslint scope from tests a href milos djermanovic li a href chore fix typo in legacy eslint js a href sweta tanwar li a href chore fix typos a href ntnyq li a href chore use team member s username when name is not available in data a href milos djermanovic li a href chore mark deprecated rules as available until v11 0 0 a href pixel998 h2 v9 37 0 h2 features ul li a href feat code preserve caught error should recognize all static quot cause quot keys a href pixel998 li a href feat support ts syntax in code no restricted imports a href nitin kumar h2 bug fixes ul li a href fix correct code no loss of precision false positives for leading zeros a href francesco trotta li a href fix add missing ast token types a href pixel998 li a href fix correct code eslint typings a href pixel998 h2 documentation ul li a href docs fix typos across the docs a href lumir li a href docs improve toc accessibility by hiding non semantic character a href percy ma li a href docs update readme github actions bot li a href docs show code availableuntil in deprecated rule banner a href pixel998 li a href docs update code readme files to add badge and instructions a href lumir li a href docs update references from code master to code main a href lumir h2 chores ul li a href chore update code eslint dependency to version 9 37 0 a href francesco trotta li a href chore package json update for code eslint release jenkins li a href chore fix typos in comments a href overlookmotel li a href chore unpin jiti a href renovate bot raw html omitted p truncated details summary commits ul li a href 9 38 0 li a href build changelog update for 9 38 0 li a href chore upgrade code eslint href a href li a href chore package json update for code eslint release li a href fix improve type support for isolated dependencies in pnpm a href li a href refactor use types from code eslint a href li a href ci add node js 25 to code ci yml a href li a href feat update code complexity rule to only highlight function header a href li a href feat correct code no loss of precision false positives with code e notation a href li a href ci bump github from 3 to 4 a href li additional commits viewable in a href view br dependabot compatibility score you can trigger a rebase of this pr by commenting dependabot automerge start dependabot automerge end details summary dependabot commands and options br you can trigger dependabot actions by commenting on this pr will rebase this pr will recreate this pr overwriting any edits that have been made to it will merge this pr after your ci passes on it will squash and merge this pr after your ci passes on it will cancel a previously requested merge and block automerging will reopen this pr if it is closed will close this pr and stop dependabot recreating it you can achieve the same result by closing it manually will show all of the ignore conditions of the specified dependency will close this pr and stop dependabot creating any more for this major version unless you reopen the pr or upgrade to it yourself will close this pr and stop dependabot creating any more for this minor version unless you reopen the pr or upgrade to it yourself will close this pr and stop dependabot creating any more for this dependency unless you reopen the pr or upgrade to it yourself note automatic rebases have been disabled on this pull request as it has been open for over 30 days', 'chore deps dev bump eslint from 9 31 0 to 9 38 0 bumps eslint from 9 31 0 to 9 38 0 details summary release notes p em sourced from a href releases blockquote h2 v9 38 0 h2 features ul li a href feat update code complexity rule to only highlight function header a href atul nair li a href feat correct code no loss of precision false positives with code e notation a href francesco trotta h2 bug fixes ul li a href fix improve type support for isolated dependencies in pnpm a href francesco trotta li a href fix correct sourcecode typings a href pixel998 h2 documentation ul li a href docs improve web accessibility by hiding non semantic character a href lumir li a href docs correct formatting in code no irregular whitespace rule documentation a href lumir li a href docs update readme github actions bot li a href docs move code custom formatters type descriptions to code nodejs api a href percy ma h2 chores ul li a href chore upgrade code eslint href a href milos djermanovic li a href chore package json update for code eslint release jenkins li a href refactor use types from code eslint a href nicholas c zakas li a href ci add node js 25 to code ci yml a href lumir li a href ci bump github from 3 to 4 a href dependabot bot li a href test remove use of code nodejsscope option of eslint scope from tests a href milos djermanovic li a href chore fix typo in legacy eslint js a href sweta tanwar li a href chore fix typos a href ntnyq li a href chore use team member s username when name is not available in data a href milos djermanovic li a href chore mark deprecated rules as available until v11 0 0 a href pixel998 h2 v9 37 0 h2 features ul li a href feat code preserve caught error should recognize all static quot cause quot keys a href pixel998 li a href feat support ts syntax in code no restricted imports a href nitin kumar h2 bug fixes ul li a href fix correct code no loss of precision false positives for leading zeros a href francesco trotta li a href fix add missing ast token types a href pixel998 li a href fix correct code eslint typings a href pixel998 h2 documentation ul li a href docs fix typos across the docs a href lumir li a href docs improve toc accessibility by hiding non semantic character a href percy ma li a href docs update readme github actions bot li a href docs show code availableuntil in deprecated rule banner a href pixel998 li a href docs update code readme files to add badge and instructions a href lumir li a href docs update references from code master to code main a href lumir h2 chores ul li a href chore update code eslint dependency to version 9 37 0 a href francesco trotta li a href chore package json update for code eslint release jenkins li a href chore fix typos in comments a href overlookmotel li a href chore unpin jiti a href renovate bot raw html omitted p truncated details summary commits ul li a href chore package json update for code eslint release li a href chore package json update for code eslint release li a href docs update code readme files to add badge and instructions a href li a href chore package json update for code eslint release li a href fix update code eslint all js to use code object freeze for code rules object a href li a href chore package json update for code eslint release li a href chore update code eslint community a href li a href chore package json update for code eslint release li a href chore package json update for code eslint release li a href chore package json update for code eslint release li see full diff in a href view br dependabot compatibility score you can trigger a rebase of this pr by commenting dependabot automerge start dependabot automerge end details summary dependabot commands and options br you can trigger dependabot actions by commenting on this pr will rebase this pr will recreate this pr overwriting any edits that have been made to it will merge this pr after your ci passes on it will squash and merge this pr after your ci passes on it will cancel a previously requested merge and block automerging will reopen this pr if it is closed will close this pr and stop dependabot recreating it you can achieve the same result by closing it manually will show all of the ignore conditions of the specified dependency will close this pr and stop dependabot creating any more for this major version unless you reopen the pr or upgrade to it yourself will close this pr and stop dependabot creating any more for this minor version unless you reopen the pr or upgrade to it yourself will close this pr and stop dependabot creating any more for this dependency unless you reopen the pr or upgrade to it yourself note automatic rebases have been disabled on this pull request as it has been open for over 30 days', 'chore deps dev bump eslint from 9 31 0 to 9 37 0 bumps eslint from 9 31 0 to 9 37 0 details summary release notes p em sourced from a href releases blockquote h2 v9 37 0 h2 features ul li a href feat code preserve caught error should recognize all static quot cause quot keys a href pixel998 li a href feat support ts syntax in code no restricted imports a href nitin kumar h2 bug fixes ul li a href fix correct code no loss of precision false positives for leading zeros a href francesco trotta li a href fix add missing ast token types a href pixel998 li a href fix correct code eslint typings a href pixel998 h2 documentation ul li a href docs fix typos across the docs a href lumir li a href docs improve toc accessibility by hiding non semantic character a href percy ma li a href docs update readme github actions bot li a href docs show code availableuntil in deprecated rule banner a href pixel998 li a href docs update code readme files to add badge and instructions a href lumir li a href docs update references from code master to code main a href lumir h2 chores ul li a href chore update code eslint dependency to version 9 37 0 a href francesco trotta li a href chore package json update for code eslint release jenkins li a href chore fix typos in comments a href overlookmotel li a href chore unpin jiti a href renovate bot li a href refactor mark code eslint findconfigfile as code async add missing docs a href pixel998 li a href chore update eslint a href renovate bot li a href test remove tmp dir created for circular fixes in multithread mode test a href milos djermanovic li a href ci pin code jiti to version 2 5 1 a href pixel998 li a href perf improve worker count calculation for code quot quot concurrency a href francesco trotta li a href chore mark deprecated formatting rules as available until v11 0 0 a href milos djermanovic h2 v9 36 0 h2 features ul li a href feat correct code preserve caught error edge cases a href francesco trotta h2 bug fixes ul li a href fix add missing rule option types a href ntnyq li a href fix update code eslint all js to use code object freeze for code rules object a href lumir li a href fix add missing scope types to code scope type a href pixel998 li a href fix correct rule option typings in code rules d ts a href pixel998 h2 documentation ul li a href docs update examples to use code defineconfig a href sethamus li a href docs fix typos a href pixel998 li a href docs update readme github actions bot li a href docs update readme github actions bot li a href docs update readme github actions bot h2 chores ul li a href chore upgrade code eslint href a href milos djermanovic li a href chore package json update for code eslint release jenkins raw html omitted p truncated details summary commits ul li a href chore package json update for code eslint release li a href docs update code readme files to add badge and instructions a href li a href chore package json update for code eslint release li a href fix update code eslint all js to use code object freeze for code rules object a href li a href chore package json update for code eslint release li a href chore update code eslint community a href li a href chore package json update for code eslint release li a href chore package json update for code eslint release li a href chore package json update for code eslint release li see full diff in a href view br dependabot compatibility score dependabot will resolve any conflicts with this pr as long as you don t alter it yourself you can also trigger a rebase manually by commenting dependabot automerge start dependabot automerge end details summary dependabot commands and options br you can trigger dependabot actions by commenting on this pr will rebase this pr will recreate this pr overwriting any edits that have been made to it will merge this pr after your ci passes on it will squash and merge this pr after your ci passes on it will cancel a previously requested merge and block automerging will reopen this pr if it is closed will close this pr and stop dependabot recreating it you can achieve the same result by closing it manually will show all of the ignore conditions of the specified dependency will close this pr and stop dependabot creating any more for this major version unless you reopen the pr or upgrade to it yourself will close this pr and stop dependabot creating any more for this minor version unless you reopen the pr or upgrade to it yourself will close this pr and stop dependabot creating any more for this dependency unless you reopen the pr or upgrade to it yourself']"
12,87,12_medusa_cassandra_columns_worker,"['medusa', 'cassandra', 'columns', 'worker', 'enrichment', 'list', 'recon', 'schema', 'document', 'readme']","['update medusa schema columns summary document new fields captured by worker medusa mention extra enrichment fields in the medusa readme testing fails modulenotfounderror no module named requests', 'fix medusa cassandra bindings summary handle cassandra list columns without json strings testing', 'add cassandra integration to medusa worker summary wire medusa to cassandra using env vars save enrichment results to mention cassandra settings in medusa docs testing']"
13,78,13_javadoc_jlbh_document_found,"['javadoc', 'jlbh', 'document', 'found', 'percentile', 'runresult', 'not', 'clarify', 'mvn', 'fails']","['update jlbh constructor javadoc summary expand documentation for testing fails not found', 'update jlbh javadoc summary document return value of testing fails not found', 'improve constructor javadoc summary clarify jlbh jlbhoptions javadoc testing fails not found']"
14,74,14_animation_sprite_player_ball,"['animation', 'sprite', 'player', 'ball', 'idle', 'kick', 'position', 'run', 'animations', 'frames']","['fix idle player positioning during kick animation when a player initiates a kick the non kicking player s idle animation was incorrectly repositioning to causing it to follow the ball during the kick phase instead of remaining stationary changes added guard to idle player repositioning logic in applied to both blue player line 1578 and red player line 1609 positioning logic start copilot coding suffix details summary original prompt this section details on the original issue you should resolve issue title fix animation issue description in the last piotr gorczynski you added animation for kicking when player0 starts move is initated this happens 1 player0 starts kick animation this is ok 2 player1 idle animation conninous but he move along with the ball this is wrong the player 1 should remain at the smae position anc continue idle animation 3 both player starts run animation this is ok comments on the issue you are copilot in this section comments fixes piotr gorczynski start copilot coding tips we d love your input share your thoughts on copilot coding in our 2 minute survey survey', 'fix idle player position during kick animation during kick animation the non kicking player incorrectly moved with the ball instead of remaining stationary at the starting position changes modified to hold idle player position during opponent s kick applied same logic for both red and blue players based on value start copilot coding suffix details summary original prompt this section details on the original issue you should resolve issue title fix animation issue description in the last piotr gorczynski you added animation for kicking when player0 starts move is initated this happens 1 player0 starts kick animation this is ok 2 player1 idle animation conninous but he move along with the ball this is wrong the player 1 should remain at the smae position anc continue idle animation 3 both player starts run animation this is ok comments on the issue you are copilot in this section comments comment new author piotr gorczynski copilot the fix seems not to fix the animation i will describe the issue again when player0 starts move is initated this happens 1 player0 starts kick animation this is ok at the same moemnt player1 idle animation conninous but he starts moving along with the ball this logic is wrong you should fix that the player 1 position should not change when player 0 is kiking the ball 3 when player 0 kick animation finishes for both player starts run animation and they move as it was planned this logic works ok fixes piotr gorczynski start copilot coding tips let copilot coding set things up for you tips 29 2e 0a 0a 3conboard 20this 20repo 3e assignees copilot coding works faster and does higher quality work when set up for your repo', 'fix idle player sprite following ball during kick animation when a player initiated a kick the non kicking player s idle sprite incorrectly moved along with the ball instead of remaining stationary this broke the intended animation sequence kick both players run changes method separated kick animation handling from run delay logic using explicit if else branches the non kicking player now remains at throughout the kick animation both players begin running only after the kick completes start copilot coding suffix details summary original prompt this section details on the original issue you should resolve issue title fix animation issue description in the last piotr gorczynski you added animation for kicking when player0 starts move is initated this happens 1 player0 starts kick animation this is ok 2 player1 idle animation conninous but he move along with the ball this is wrong the player 1 should remain at the smae position anc continue idle animation 3 both player starts run animation this is ok comments on the issue you are copilot in this section comments comment new author piotr gorczynski copilot the fix seems not to fix the animation i will describe the issue again when player0 starts move is initated this happens 1 player0 starts kick animation this is ok at the same moemnt player1 idle animation conninous but he starts moving along with the ball this logic is wrong you should fix that the player 1 position should not change when player 0 is kiking the ball 3 when player 0 kick animation finishes for both player starts run animation and they move as it was planned this logic works ok comment new author piotr gorczynski copilot the piotr gorczynski improved situation but not entirly i will describe the residual issue let s assume it is player0 turn before the move is made the sprite of player0 stands at player0 position and sprite of player 1 stands te player1 position then user makes a move for player 0 the player1 sprite is shifted from former position to the ball position this is incorrect the sprite of player 1 should continue to stay at the same position so fix it only when player0 finishes kick animation the player 1 sprite should start running the bahvaiour and logic and animation for player0 are working correctly this is correct fixes piotr gorczynski start copilot coding tips we d love your input share your thoughts on copilot coding in our 2 minute survey survey']"
15,64,15_maps_google_worker_scraper,"['maps', 'google', 'worker', 'scraper', 'orchestrator', 'gmaps', 'city', 'spiral', 'progress', 'postgres']","['improve google maps worker logging summary log when new results are found while monitoring google maps testing fails missing script', 'fix google maps worker ui injection summary scrub leftover status bar references from google maps scraper page script wait for google maps pages to load before injecting progress bar from the worker testing fails syncing content', 'add live dashboard for google maps worker summary track last google maps scraper database path expose endpoint show live results and rate on the google maps scraper page testing']"
16,63,16_jest_vendor_unexpected_encountered,"['jest', 'vendor', 'unexpected', 'encountered', 'debug', 'session', 'token', 'created', 'import', 'webdrivererror']","['fix resolve debug import for renderer summary use a file path in so the renderer can load it update vendor regeneration script to write the new path testing fails jest encountered unexpected token fails webdriver session not created', 'fix debug vendor import summary bundle s into copy new file in vendor generation script testing fails jest encountered unexpected token fails webdrivererror session not created', 'fix debug vendor import summary load debug vendor using copy vendor debug file as testing fails jest encountered unexpected token fails webdrivererror session not created']"
17,61,17_blog_posts_post_layout,"['blog', 'posts', 'post', 'layout', 'author', 'page', 'carbon', 'pages', 'article', 'search']","['hook blog index to real posts summary connect blog index page to actual blog post collection update blog list components to accept post data testing', 'add blog section with search and tags summary define a content collection add blog layout and card components create blog index post and tag pages implement search for posts and add tag cloud link the blog in the global header provide two example posts fix usage to avoid undefined content error testing fails astro not found', 'add blog section with search and tags summary define a content collection add blog layout and card components create blog index post and tag pages implement search for posts and add tag cloud link the blog in the global header provide two example posts testing fails astro not found']"
18,60,18_pile_blob_branch_blobs,"['pile', 'blob', 'branch', 'blobs', 'refresh', 'changelog', 'length', 'truncation', 'document', 'record']","['add tests covering pile metadata and branch conflicts summary add unit tests for pile metadata iteration and branch update conflicts document new tests in changelog testing', 'verify blob hashes during pile iteration summary validate blob hashes lazily when iterating over a pile and propagate errors test that corrupted pile blobs are reported by the iterator testing', 'document that pile branch updates don t require stored blobs summary clarify that pile branch updates do not verify referenced blobs allowing head only stores explain this behavior in the pile format documentation record doc update in changelog testing']"
